DFS
WBA
PPL
MOH
SLB
CNP
PXD
NUE
CCL
SYY
AMGN
VZ
MAS
URI
GWW
HPQ
VRTX
ABBV
CDW
FSLR
CRM
APA
SPG
MET
TMUS
VMC
TPR
KO
TSCO
IBM
NFLX
VNO
FMC
BKR
WFC
RL
EFX
DLR
FDS
WELL
BBY
WEC
CCI
CEG
VFC
DOV
LDOS
KIM
TFC
ADBE
ED
CE
TXT
GOOG
MSI
BALL
BKNG
NEE
TRV
GILD
TSN
PFE
COF
UNH
CNC
BAC
EXR
TJX
SO
MU
LUV
MA
NDSN
AIZ
TGT
CBOE
CDAY
HLT
ALL
DE
K
POOL
NDAQ
MDT
OKE
CAT
DISH
MKTX
APH
OMC
AAPL
FRC
ES
ADM
ORLY
SPGI
WAB
GNRC
PNR
ARE
